ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
สุขสันต์วันนี้วันเกิดเธออีกครั้ง,Paks,-,3:21,https://www.youtube.com/embed/lhk1DwxHshM?si=j6Vl5wuHYe69RWZE,Pop,Birthday party,Thai
Birthday Suit,Kesha,-,2:57,https://www.youtube.com/embed/hweyePnFO4U?si=D3LQO537HSihachB,"Pop,EDM",Birthday party,English
It’s My Party,Lesley Gore,-,2:40,https://www.youtube.com/embed/mtCIdpnQoWk?si=FJGwdx-HPkxkOPIU,Retro,Birthday party,English
Birthday Song,Don McLean,-,2:40,https://www.youtube.com/embed/jHpDqBBIu0Y?si=X9eAnRVu9PlFk1f3,Country,Birthday party,English
คำอวยพร,WWJ ,-,4:48,https://www.youtube.com/embed/An0fEBn6E2c?si=1RhgmOblutSdYht0,Pop,Birthday party,Thai
รักแมวคุณมากกว่า,Youth Brush,-,4:00,https://www.youtube.com/embed/Ag1RB68uKIU?si=wBO7fg027KCzxMbI,Indie,Birthday party,Thai
รักคุณเข้าอีกแล้ว,Boydpod,-,4:44,https://www.youtube.com/embed/T8rcGhngbuA?si=vXMQz76Re172pT86,Pop,Birthday party,Thai
Happy Birthday,Stevie Wonder,-,5:57,https://www.youtube.com/embed/RcVZfJO01NI?si=XQefor50lr2g6PvD,R&B,Birthday party,English
อวยพรสุดท้าย,NUM KALA,-,6:01,https://www.youtube.com/embed/Mha_C5acEZs?si=q19XOZyvGOG8VV8o,"เพื่อชีวิต,Rock",Birthday party,Thai
สุขกันเถอะเรา,สุนทราภรณ์,-,3:30,https://www.youtube.com/embed/5OkDc1KeeSg?si=6aVilFOfOZX7v4Pp,"ลูกกรุง,Retro",Birthday party,Thai
Happy Birthday,Sufjan Stevens,-,2:45,https://www.youtube.com/embed/7wRjAsEtNI4?si=zNZlTt0HikwXh_gD,Indie,Birthday party,English
Birthday ,Katy Perry,-,3:35,https://www.youtube.com/embed/jqYxyd1iSNk?si=VkFTRSrG8m9pFX7Q,Pop,Birthday party,English
Unhappy Birthday,-,The Smiths,2:50,https://www.youtube.com/embed/I28iqDx1b3A?si=xngKlsYmUsmboay1,Alternative,Birthday party,English
วันเกิดเธอ,PHUWIN,-,4:20,https://www.youtube.com/embed/_ROx1Bj3T0Y?si=d5b-FJHCgdEaBCSP,Pop,Birthday party,Thai
อยู่ต่อเลยได้ไหม,สิงโต นำโชค,-,3:56,https://www.youtube.com/embed/R5wA8wr5ccg?si=fhmQ61T7rpGOwiAr,"Romantic,Pop",Birthday party,Thai
ยินดีที่ไม่รู้จัก,-,25 Hours,3:59,https://www.youtube.com/embed/Whu6oBYdYvk?si=FpNCgnmtFEFUwK1f,Alternative,Birthday party,Thai
พรปีใหม่,เพลงพระราชนิพนธ์,-,3:01,https://www.youtube.com/embed/-ZoRz7bkd_Q?si=tcgP8sCDoouj1Wdt,ลูกทุ่ง,Buddhist,Thai
พระพุทธเจ้า 5 พระองค์ (หลวงปู่มหาศิลา),กานต์ ทศน,-,4:34,https://www.youtube.com/embed/gPNna_XDCd0?si=t33O9-eHYU2dph-Y,ลูกทุ่ง,Buddhist,Thai
สายเปลสายใจ,ยอดรัก สลักใจ,-,3:35,https://www.youtube.com/embed/6a7kO4_NhiM?si=XHhpPcMnEGjc0UsI,ลูกทุ่ง,Buddhist,Thai
สี่กษัตริย์เดินดง,ทศพล หิมพานต์,-,4:33,https://www.youtube.com/embed/dvJsNZjMpGY?si=vyj0KrPdr0-J9jw3,ลูกทุ่ง,Buddhist,Thai
บวชนาค,ยอดรัก สลักใจ,-,4:15,https://www.youtube.com/embed/lhzGD4K63Hc?si=uxFXzDHySA8QMRN8,ลูกทุ่ง,Buddhist,Thai
องค์ใดพระสัมพุทธ,ธนพร แวกประยูร,-,4:44,https://www.youtube.com/embed/zP_7kdBeCMU?si=mpHeTKuXAFGhYxoT,ลูกทุ่ง,Buddhist,Thai
นาคสั่งสีกา,ดำรง วงศ์ทอง,-,4:06,https://www.youtube.com/embed/OAQB099K4RY?si=QjmDOLaWif8tvSPB,ลูกทุ่ง,Buddhist,Thai
